req,res
북한 교육제도에 대해 알아봤는데 학교 명칭부터 다르더라,나도 들어봤어 초등학교를 소학교라 부르던데
"사회라는 과목도 존재하지 않고, 도덕은 사회주의 도덕이라 부른대",와 남한이랑 많이 다르네
대학교는 김일성종합대학이 최고의 학교인가봐,"고등학교는 수학,물리 비중이 높다며"
그러게 소수도 씨수라고 부른다더라,북한 교육이랑 남한교육이랑 정말 다르게 많다
운전하다보면 버스 가끔 타도 멀미나는 거 같아,맞아 나도 그랬었어
근데 버스만 계속 타면 멀미나는지 모르겠더라,그렇긴하지 그래도 버스만 계속 타고 다닐순 없잖아
근데 신기한데 기차 타면 멀미 안하더라,맞아 운전 계속 하다가 기차 타면 멀미 안해 ㅋㅋ
근데 왜 버스만 멀미할까?,그러게 폐쇄된 공간에 사람이 많아서 인가?
그럴수도 있겠네! 오랜만에 버스탔더니 힘들어ㅠㅠ,그럼 오늘 푹쉬어!
어젯밤에 맛있는 거 먹고 잤어?,어제 떡볶이 타임이었어요 ㅋㅋ/주 1회에 한 번 먹는 떡볶이/언닌 뭐 먹었어요? 저녁에
무슨 떡볶이 먹은 거야?,저는 어제 감탄 떡볶이요./먹어본 적 있어요?
새로 생긴 프렌차이즈야?,원래는 아딸이었어요/감탄으로 바꿨다고 하더라고요/언니는 떡볶이 좋아해요?
주로 체인점에서 사 먹어?,네 주변에 개인 떡볶이 집이 있어요/떡볶이랑은 뭐랑 같이  먹는 거 좋아해요?
넌 떡파야?,네 저는 강경 밀떡파입니다./언니는 쌀떡하고 밀떡하고 뭘 더 좋아해요?
아... 나는 쌀떡인데 우리 여기까지인가 봐.,저희는 정말 같이 갈 수 없는 사이인가 봐요./안타깝네요.
우리는 같이 분식을 먹으러 갈 수가 없어.,안타깝네요./즉석떡볶이 좋아하세요?
다음에 같이 먹으러 가자.,좋아요/다음에 밀떡도 쌀떡도 좋으니까 같이 먹으러 가요
요즘 아침마다 집에 매미가 붙어서 노래 부르는데 환장하겠어.,와 진짜 생각보다 그 소리 크던데.../방충망에 붙어있는 거예요?
응. 아니 우리 집 15층인데 매미가 어떻게 기어올라 온 건지... 너네 집은 어때?,저희 집은 3층인데 매미 소리가 크게 들리진 않아요./주변에 나무가 없어서 그런가 근데 어제 나방은 들어왔어요...ㅠ
세상에... 집에 방충망 없었어?,있는데 대체 어디로 들어온 건지.../동생이 그나마 덜 무서워해서 잡아줬어요./저는 그래서 정말 고층에서 살아보고 싶어요. 한 25층 이상 ㅋㅋ
매매로 사구 싶다!,매매 좋죠./언제 쯤 제 집을 마련하게 될까요/아무래도 마련하게 돼도 거의 은행집이겠죠? ㅋㅋ
아직 집을 사도 괜찮은 거 같아?,이사 다니는 거 힘들어서 집 있었으면 좋겠어요./하지만 아직 상황이 안 돼서 힘들어요 ㅠㅠ/언니는 언제 집 매매 계획 있으세요?
집 사기에는 요즘 금액이 너무 많이 오르지 않았어?,그렇죠? 근데 앞으로도 떨어질 일은 별로 없다고 봐서... 어쩔지 모르겠어요/저는 부알못이기도 하고요./언니는 어떻게 보세요?
저는 집 살 계획이 있는 거야?,지금은 말고 나중에는요? ㅋㅋ/근데 서울 너무 비싸서 경기권으로 알아보게 될 것 같아요/막상 집을 사게 되면
마음에 쏙 드는 집 구하길 바랄게~,넵넵 다음에 또 얘기해요~
대학생 때 직장 생활에 대한 로망 있었어?,음 돈 버는 멋진 사람인 느낌?/사실 어렸을 때부터 일하는 거에 대한 막연한 두려움이 있었어요./언니는 무슨 로망이 있었어요?
월급 받고 사고 싶은 거 다 사는 로망이 있었는데 그렇지는 않더라구.,그죠. 로망이랑 현실은 확실히 다른 것 같아요. ㅠㅠ/언니는 지금까지 어떤 알바를 해봤어요?
문구점 알바 했었던 게 생각나는데 너는 제일 처음 한 알바는 뭐였어?,첫 알바가 편의점이었어요. 제대로 일한 건/그전엔 단기 아르바이트만 했었어요/언니는 단기로 많이 했어요 장기로 많이 했어요?
난 대부분 잠깐잠깐이었는데 문구점은 2년 가까이 했었어.,문구점은 어때요?/일이 어렵지는 않았어요?
문구점에서 파는 간식도 얻어먹을 수 있었고!,오오 좋았겠어요!/저도 편의점 알바할 때는 뭘 공짜로 먹은 건 아니지만 늘 끝날 때 뭐 사 먹으면서 퇴근했었어요 ㅋㅋ
편의점 업무는 어떤 게 있어?,발주한 물품 들어오면 정리하고 청소하고 카운터 업무 보고  저희 로또까지 해서 로또까지 했어요~/혹시 더 편의점에 대해서 궁금한 거 있으세요?
편의점은 도난 사건이 많아서 알바생이 늘 메꿔야 한다던데 그게 진짜야?,음 그런 건 아니고 시재가 비면 채워 넣는다고 들었는데 저희 사장님은 그렇지는 않았어요/아 생각해보니까 민증 검사하는 게 좀 힘들었어요
게다가 진상도 많았을 거 같고 네가 정말 고생이 많았네.,그래도 좋은 경험이었던 것 같아요~
군대 가보고 싶다 생각한 적 있니?,아니요 절대요./규칙적인 생활도 못하고 체력도 안 좋아요/혹시 언니는요?
학생 때 군대 육군 체험 가는 친구가 있어서 살짝 궁금하긴 했었었어.,오 혹시 그럼 여자도 군대에 가야 한다는 얘기에 대해서 어떻게 생각하세요?
현재 징집되면 사람들도 피할 수 없어서 가는 거니까. 너는 어떻게 생각해?,저도 다 가야 한다면 가야겠지라고 생각이 들긴 해요./참 어려운 문제인 것 같아요/요즘 이슈도 되고... 혹시 주변에 독특한 보직으로 군대 간 사람 있었어요?
독특한 보직이 뭐가 있니?,음... 트럼펫?/전에 들은 건데 유해발굴감식단이란 게 있대요/독특하죠?
전쟁 때 사망하신 분들의 유골을 발견하는 거야?,네 그런 것 같아요./저는 잘 모르지만요./혹시 여자인데 군대 가고 싶어 하는 사람 주변에 있었어요?/저는 제 동생 어렸을 때 꿈이 군인이었어요
동생은 어떤 군인이 되고 싶었대?,그런 건 잘 모르겠고 규칙적인 생활이 좋아서 군인이 되고 싶었대요
지금도 동생은 군인이 꿈이라고 해?,지금은 아니에요/다른 쪽 꿈을 꾸고 있어요./지금은 집 주변에 군대가 있어요 신기하죠 하
군부대가 주변에 있으면 집에 있을 때 군인 자주 보겠다~,네 출퇴근하는 군인들  자주 봐요 ㅋㅋ
어떤 자격증을 가지고 있어?,저는 일본어 자격증하고 공인중개사 자격증을 가지고 있어요./언니는 어떤 자격증이 있으세요?
나도 일본어 자격증이 있고 속기 자격증이 있어.,오 언니 일본어 자격증 있는 건 처음 알게 된 사실이에요/혹시 일본어는 어디서 배우셨어요?
이웃집에 일본인분이 계셨어서 제2 외국어 겸 그때 배우게 됐어.,오 그러셨구나/저는 학원을 통해서 배우게 됐어요/혹시 언니는 공부 과목 학원은 많이 다니신 편이에요?
학원은 생각보다 내 취향이 아니더라구 일본어도 재밌어서 학원 갔는데 두 달 하고 관뒀었어.,저도 학원파는 아니더라고요./언니는 아이들 조기 교육에 대해서 어떻게 생각하세요?
어떻게 다들 부지런하게 그렇게 준비를 할 수 있을까?,저는 아이들 때만 놀고 느끼고 배울 수 있는 게 있는데 그런 걸 놓치고 공부에만 열중할까 봐 좀 걱정되는 게 있긴 해요.
한편으론 그런 교육을 받을 기회가 없는 것도 안타까운 일 중의 하나가 아닐까 싶어.,또 그렇게 들으니까 그렇네요./그런 기회를 가지는 것도 어떻게 보면 축복이겠죠?
결국 교육을 해보고 계속할지 안 할지는 아이의 선택인데 그것만 어른이 강요하는 게 아니면 괜찮지 않을까 난 생각해.,좋은 말이라고 생각해요./강요가 없는 세상이 됐으면 좋겠어요.
너는 자기계발을 위해서 또 어떤 공부를 할 거니?,1 : 어떤 자격증을 가지고 있어?
부모님 중에 어느 분이랑 더 친한 것 같아?,저는 엄마요./아빠와 엄마 중 고르자면요./언니는 어떠세요?
난 어릴 적에는 엄마였던 거 같은데 크면서 아빠랑 더 친해지게 됐어.,아빠랑 저는 사이가 안 좋아서 아빠랑 친한 느낌이 어떤 건지 궁금해요./혹시 아빠랑 좋은 추억 있으세요? 간단하게라도...
이제 보니 아빠랑 나랑 취향이 너무 잘 맞았어.,좋았겠어요/옛날엔 몰랐는데 확실히 남는 건 여행에서 좋은 기억과 사진뿐인 것 같아요. 하하/언니는 가족여행 어디로 갔었어요?
친척 중에는 친한 사람 있어?,친척은... 음 이야기하자면 길어서요. ㅠㅠ/저는 어쨌든 가까운 가족이라곤 엄마 동생 뿐이에요~/언니는 자주 왕래하는 친척 있으세요?
이종사촌이랑은 어릴 때부터 잘 지냈는데 근처에 살아서 연락은 종종 주고받아.,아 그렇군용 하하/혹시 그럼 언니 부모님께 드렸던 선물 중에 기억에 남는 것 있으세요?
엄마한테 가방을 사 드렸는데 엄마가 자기 취향 아니라고 이모한테 준 게 생각나네 ㅋㅋ,ㅋㅋ 저는 엄마 월급으로 내의 사드렸던 기억이 나요./혹시 오빠한테는 선물 주거나 받은 기억 있으세요?
너네는 어땠어?,매 생일마다 선물 주고 받고 하는 거랑 가끔 필요한 거 사주긴 해요/저 힘들 때 좋아하는 거 사준다고 했었는데 그게 좀 감동이었어요
여동생 정말 부럽다~,막 좋기만 한 건 아니지만 좋은지 나쁜지로 나누면 좋은 동생이라고 생각해요 하하
학교에 반려동물 키워본 적 있어?,학교에서 없어요./안 그래도 생각해 보니까 다른 학교는 학교에서 키우는 동물도 있다고 하는데 저희는 없었네요 ㅠ/언니는 있었어요?
우리 학교도 그런 건 없었는데 친구가 선생님 몰래 햄스터를 키웠었어.,학교에서 키웠었던 거예요? 선생님 몰래?
맞아. 교실에서 키웠었는데 햄스터가 원체 조용해서 반 애들이 말 안 하면 몰랐을 정도였어.,와 그러네요/근데 뭔가 신기해요 그렇게 티 안 나게 기를 수 있다는 게/혹시 언니는 주변인 반려동물한테 선물해본 적 있어요?
선물은 아니고 어릴 때 병아리를 키웠는데 감당하기 벅차서 주변에 키우고 있던 친구에게 보낸 적은 있었어.,마음이 좋지 않았을 것 같아요. ㅠㅠ/저는 어렸을 때 키우다 많이 죽었어서 그때마다 엄청 슬펐거든요
어... 아냐... 죽지는 않았는데 친구가 잘 키워서 삼계탕 끓여 먹었다고 들었어.,허어어어류 ㅠㅠ/너무 속상한 얘기예요./뭐 어쩔 수 없는 건가./저는 지금 거북이 길러요!
자라면 몸보신인데 거북이는 아니겠구나.,ㅋㅋ 아니랍니다./아마 오래 살 것 같아서 가보로 물려줄 것 같아요./아 근데 저 결혼 안 할 건데 누구 물려주죠.
반려동물이고 대대손손 맡기려면 족보라도 만들어야 할까?,ㅋㅋ 진짜 물려주게 되면 족보 만들어야겠어요./누구한테 언제 물려줬는지 어때요?/괜찮겠죠?
거북이 새끼도 놓고 오래도록 장수했으면 좋겠다~,이건 다른  말인데 거북이 알 낳는 꿈이 그렇게 돈을 많이 버는 꿈이래요~
게임은 몇 살 때부터 시작했었어?,"저는 초등학교 1, 2학년 때부터 시작했던 것 같아요 하하/아빠가 컴퓨터를 잘 다루셨거든요./아 디디알도 집에 있었어요"
오락실도 가 봤어?,네 오락실 가봤어요~/가서 처음으로 브이알 게임도 해봤어요/재밌더라고요/언니는 혹시 가봤어요?
지금도 귓가에 버터플라이가 재생되고 있는 거 같아 ㅋㅋ,ㅋㅋ 노래 들어보고 싶어요 하하/저는 디디알을 집에서 했었던 기억이 있는 게 신기해요/언니 디디알 잘하는 편이세요?
테트리스 좋아해?,네 좋아해요 잘하지는 못하지만/동생이 테트리스는 잘해요/저는 음 애니팡이나 사천 캔디 크러시 같은 게임도 좋아해요
맞아. 캔디 크러시 너무 재밌고 비슷한 류로 행복의 저택하는데 요즘 다른 게임한다고 몇 달째 안 하고 있네.,저도 지금 지우지는 못하고 계속 깔려있는데 그래도 한번 하기 시작하면 되게 자주해요/너무 재밌어요
요즘에는 무슨 게임 해?,요즘은 네코아츠메라고 고양이 키우는 게임해요/먹이 주고 고양이가 가져온 멸치로 장난감 사고 그래요/혹시 들어본 적 있으세요?
그 게임 너무 귀여웠었어. 장난감 사서 두면 고양이가 와서 가지고 놀구!,네 저 그거 지금 모든 장난감이랑 모든 집 다 사고 끝내려고 열심히 하고 있어요/원래 게임하면 끝장 봐야 하는 스타일이라서요 ㅋㅋ
수집 게임은 그런 점이 가장 마상인 것 같아~,그렇군요. 언니가 마음의 상처를 입었군요./다음에 또 이야기해요~
코로나 시국에 국내든 해외든 여행 가는 사람 어떻게 생각해?,음... 이제는 그냥 그런가 보다 해요/해외도 2주간 자가격리할 각오 있으면 가는 거고 국내도 방역 수칙 잘 지키면 문제없다고 생각해요~/너무 지쳤잖아요 ㅠㅠ
맞아. 이해가 가는데도 해외여행은 좀 꺼려지게 되더라구 ㅠ,그쵸 아무래도 해외는 나가면 걸리는 게 불문율 같아서요./어쨌든 여행으로 나가면 거기서 자가격리 여기서 자가격리 한 달은 걸리니 보통 마음가짐으로 안 될 것 같아요
넌 여행 계획 세우고 있는 거 있어?,해외여행은 그냥 어디 가고 싶다. 이 정도만 있고 친구들이랑 시간 맞으면 제주도는 가고 싶어요/빠른 시일 내에 되면 좋겠지만  ㅠㅠ
친구들이랑 여행 가게 되면 많이 틀어진다고 하던데 너는 어땠어?,저희는 지금 멤버로 해외여행도 다녀보고 국내 여행도 다녀봤는데 크게 문제는 없었어요/다들 성향이 맞는 스타일인 것 같아요/아무래도 여행은 잘 맞아야 되는 것 같아요
다들 어떤 성향이었어?,음 계획 짜는 거 좋아하고 딱히 다들 뚜렷하게 이걸로 해야 한다고 주장하는 친구도 없고 다들 둥글둥글해요/그래서 부딪히질 않았어요 하하
계획 짜서 가는 거면 여행사를 통해서 여행을 하지는 않았던 거야?,네네 저희끼리 움직이고 자유로운 게 좋아서 여행사를 통해서 가려고는 생각해보지 않았어요~/언니는 여행사 통해서 여행 가본 적 있으세요?
나는 최근에 몰디브 가려고 여행사를 통해서 예약을 했었는데 코로나 때문에 무산이 되었어.,아 ㅠㅠ 정말 코로나가 여럿 계획 망치고 있어요./저는 코로나 끝나면 대만 또 가보고 싶어요/이번에는 동생이랑 가보고 싶어요/친구들이랑만 가봤거든요
얼른 끝나라 코로나~,빨리 끝났음 좋겠다. 이놈의 코로나 ㅠㅠ
아니 이번 주 내내 비 온다고 하지 않았어?,그러니까요./또 속았어요/있는데 없어요./있었는데 없어졌어요./레인부츠 별로 개시도 못했는데 속은 기분이에요.
아... 며칠 전에 비 왔던 날 저녁에 시원해서 좋았는데 다시 폭염이 되었어.,그니까요/요 며칠 살 것 같았는데 오늘 점심에 잠깐 나갔는데도 더워 죽는 줄 알았어요./언니는 비 오는 거 좋아하세요?
비에 젖을 일 없이 백색 소음을 만끽할 수 있잖아?,맞아요 저는 장마를 좋아하는 건 아니지만 어쩌다 오는 비는 너무 좋아요/언니가 말한 백색 소음 같은 분위기도 좋고요~
전에 비바람이 불었을 때는 백색 소음은 무슨 무서웠을 정도였어.,와 그때는 아직도 잊을 수 없어요.
물에 빠진 생쥐가 되지 않았니.,맞아요 ㅠㅠ/그때 제 앞 사람 우산 뿌러지고 거의  수영하고 나와도 그거보단 덜 젖었을 거예요
정말이지 곧 입추라는데 이 더위는 언제 사라지는 건지 모르겠어.,ㅋㅋ 수영 안 좋아하긴 해여./입추 매직이 옛날엔 있었는데  지금은 없다면서요. ㅠㅠ/9월은 돼야 할까요.
10월은 지나야 시원할 거 같아.,아휴 멀다 멀어./혹시 언니 눈 내리는 건 어때요?
그냥 가을이 어서 왔으면~,가을 좋아요. 천고마비의 계절... 혹시 가을에 즐겨 먹는 거 있어요?
요즘 중국 너무 괘씸한 거 같지 않아?,맞아요 옛날엔 일본이 제일 싫었는데 이제는 일본하고 중국하고 어디 사라지게 해준다고 물어본다면 저는 중국이에요.
차라리 패권 싸움으로 시끄럽기만 하면 보겠는데 요즘 도를 넘는 거 같아,맞아요. 아주 자기들이 뭐라도 된 마냥... 중화사상도 너무 심하고 아주!
요즘 그래서 뭘 하려고 하든 중국 자본이 들어갔는지부터 보게 되는 거 같아,맞아요 요즘은 아주 드라마 쪽까지 엄청 내다보던데요./간 떨어지는 동거는 우리나라 웹툰 원작인데 중국 자본이래서 안 보고 있어요
정말 그래서 전에 빈센조도 비빔밥이 중국어로 나오는 장면 보고 이 드라마를 계속 봐야 하나 고민도 했었다니까...,빈센조도 중국 자본이었군요./몰랐어요... ㅠ/요즘  진짜 여기저기 모르는 사이에 중국이 많이 침투한 것 같아요.
최근에 홍콩 얘기 들었어?,네 얘기는 들었어요./중국 아주 괘씸해요/진짜 하는 짓이 양아치예요.
인권이 없었어.,중국은 왜 그렇게 자기밖에 모를까요./교육도 거의 세뇌 수준이라 눈막귀막 중국인들하고 얘기하면 속 터질 것 같아요
생각하는 게 너무 소국이야. 땅만 대국이고...,맞아요 그리고 자꾸 하나의 중국 타령하는데 꼭 갈래갈래 찢어졌으면 좋겠어요. 정말
홍콩도 대만도 위구르도 다 해방돼서 행복해졌음 좋겠어.,네 모두가 행복한 세상이었으면 좋겠어요~
주변에 다이어트에 성공한 사람이 있어?,네 제 동생이요!/통통했었는데 살 독하게 뺐어요/걔는 자기 관리를 잘해요
어떻게 했었대?,일단 식단을 알아서 잘 짜요/칼로리 계산하면서 운동도 하고 거의  먹는 것도 24시간 금식하기도 하고 그랬어요 하루에 한 끼만 먹고...
지금도 계속 그렇게 하고 있는 거야?,아뇨 지금은 더워서 저절로 빠진대요/아시다시피 저희 집이 에어컨이 없다 보니까 식욕 떨어져서 잘 안 먹게 되고 지금은 유지하고 있다고 해요
난 코로나 때 집콕 하면서 너무 먹었더니 먹는 대로 쪄서 걱정이야.,근데 한번 동생이 습관을 들이니까 그 다음은 수월하게 몸무게 조절하는 것 같더라고요/근데 제 동생은 진짜 좀 독한 편이에요 ㅠㅠ
정말 독한 것도 능력. 대단해.,그쵸? 걔는 다른 것도 독해요/그래서 뭘 해도 끈덕지게 성공하는 느낌이더라고요/아직 어리지만 많이 배워요/언니는 혹시 다른 거 더 관심 있는 미용 부분 있어요?
자르고 싶기도 하고 염색하고 싶기도 하고,염색 좋죠./근데 미용실 가는 것도 일이더라고요 ㅠㅠ/시간 너무 오래 걸리지 않아요?
그래도 마지막 샴푸할 때 두피 마사지해 주는 건 너무 좋더라구,맞아요 그 머리 감겨주는 게 얼마나 좋은지 ㅋㅋ/저도 그거 하나 좋아서 갈 땐 막상 좋아요
머리는 매번 고민인 거 같아~,그러니까요~/나중에 또 이야기해요~
쇼핑할 때 어떤 쇼핑몰 애용해?,저는 네이버 페이 애용해요/언니는요?
난 그냥 여기 저기 검색해.,아 쇼핑몰 그럼 쿠팡 많이 이용해요/배송이 빨라서요.
반품 같은 거 많이 해봤어?,아니요 저는 쓰면 그냥 써요/언니는 환불이랑 반품 해봤어요?
나 최근에 교환한 물건 있는데 반송할 물건을 가지러 오지 않아,왜 그럴까요?/왜 그런지 아세요?
분명 하루 이틀 안에 온다고 했는데 안 오네 ㅋㅋ,이상한 쇼핑몰이네요 이유도 안 알려주고
음식은 쇼핑몰 이용하는 편이야?,네 음식도 많이 살 때는 쇼핑몰 이용해요/언니는요?
난 야채나 과일 빼면 인터넷 주문하는 편이야 너무 무거워서...,그렇네요/아무래도 무게가 많이 나가니까요.
맞아. 온라인 쇼핑 너무 편한 거 같아,편한 게 최고인 거 같아요~
TV 프로그램 뭐 좋아해?,저는 런닝맨 좋아해요/언니는요?
좋아하는 개그맨 있어?,유재석 좋아해요/언니는 유재석 어때요?
난 네가 광수 좋아하는 줄 알았는데,광수도 좋은데 첫 번째는 유재석이에요 ㅋㅋ/언니는 광수는 어때요?
광수 재밌기만 했었는데 모델 사진 보니까 멋있어 보여서 놀랐어,그렇죠? 언니 혹시 런닝맨 본 적은 있으세요?
월요 커플 너무 좋아해서 ㅋㅋ,아 저도 강개리 진짜 좋아했어요.../언니도 개리 좋아했어요?
실제는 어떤지 모르겠지만,저도요/런닝맨 나간다고 했을 때 얼마나 슬펐는지 ㅠㅠ
맞아... 요즘은 광수 안 나오지?,네 언니 무한도전은 좋아했어요?
엄청 그리워~,저도 너무 그리워요~
이동욱이란 배우 너무 멋있지 않아?,네 너무 잘생기고 연기도 잘해요/이동욱 영화 봤어요? 나온 거?
자기 하는데 또 반함 ㅋㅋ,그랬구나/저는 김태리도 좋아해요/언니 김태리 알죠?/김태리 너무 예뻐 ㅠㅠ
알지 알지,김민희도 좋아했는데 너무 안타까워요... ㅠㅠ
김태리만 보자...,아가씨 너무 좋았는데 언니 아가씨 봤어요?
동성애를 다룰 줄 몰라서 좀 충격이었지만,저도 심야 영화로 봤었어요/언니 심화 영화 봤어요?
아니 그건 아직 못 봤는데 무슨  장르야?,아니요/제목이 아니라 시간이 심야대인 거요 ㅋㅋ
나 일찍 자서  심야 영화 잘 못 보는 편이야..,그렇구나/저도 한 번 봤는데 졸려 죽겠더라고요
ㅋㅋ 언제 나랑 영화 보러 가자!,네네 좋아요/나중에 봐요~
부모님 두 분 나이차는 얼마나 나세요?,한살 차이세요!/아빠가 빠른이라고 주장하시는데 엄마가 쓸데 없는 소리 하지말래요
오빠 있으시다고 들었는데 언니 있는 친구들 부럽기도 해요?,저는 언니 보다 오빠가 더 좋은 것 같아요!/근데 사실 오빠나 언니나 뭐 사이 좋으면 좋고 안 좋으면 안 좋은 건 매 한 가지 인것 같더라고요? ㅋㅋ/저는 사이가 좋은 편이라 하하
TV에서  보면  어렸을 때  막 TV 채널 내가 가지려고  리모컨으로  싸우던데 실제로도  그런 일이 있나요?,어휴 그냥 말만 하다가도 엄청 싸워요 ㅋㅋ/사실 둘다 어른 돼서 사이 좋은 거지 어렸을 때 엄청 싸웠어요
부모님과 코로나전에는 자주 여행다니셨어요?,네/오빠는 바쁘다고 같이 안가고  부모님과 저랑 셋이서 많이  놀러 다녔어요 ㅋㅋ/쌤은요?
오빠분이랑 나이는 얼마나 차이나세요?,오빠랑은 3살 차이나요!/94년생인데 제가 개띠랑 잘 안맞더라고요^^
가족끼리 식사는 다 같이 하시는 편이신가요?,네/되도록 이면 저녁은 다 같이 먹으려고 해요!
아버지 어머니 맞벌이세요?,아니요!/아버지만 일하시고 어머니는 가정부세요!
다른 가족분들 고모 이모 분들도 자주 만나시는 편이세요?,요즘 코로나라 다들 안 본지 엄청 오래 되었어요 ㅠㅠ 하하
아이는 낳고  싶으신 계획이 있어요?,저는 아기 낳고 싶어요!  쌤은요?
낳으시면 몇 명 낳고 싶으세요?,악 저도 자신은 없지만 뭐 자신 있는 상태에서 부모가 되는 경우는 없다고 생각해요!/닥치면 뭐 어떻게든 키우겠... 2명이요!
최근에 결혼식 다녀오신 적 있으세요?,결혼식이 2번 있었는데 둘다 코로나때문에 못갔어요 ㅠㅠ/그냥 축의금만 보냈어요 ㅠㅠ
코로나 전에는 돌잔치 결혼식 자주 참여하셨어요?,돌잔치는 한 번도 가본 적 없고 결혼식도 아직 많이 하는 나이대가 아닌 지라.../많이는 안 가봤어요
쌤은 돌잡이로 뭐 잡았어요?,저는 실 잡았어요!/장수 하겠다는 굳은 믿음!/쌤은요?
그래서 골프 전공 수업 에이쁠인가봐요 ㅋㅋ,우와 골프공은 처음들어봐요 ㅋㅋ/귀여워라/쌤은 만약에 결혼하면 신혼여행 어디로 가고 싶어요?
이모가 다녀오셨는데 좋다고 하셔서 쌤은 어디로 가고 싶어요?,저는 하와이나 몰디브?/둘 중에 하나는 가고 싶어요 ㅠㅠ/다들 너무 좋았다고 하는데.../갈 수 있을련지 ㅠㅠ
결혼은 언제쯤 하고 싶으세요?,옛날에는 일찍 하고 싶었는데 지금은 모르겠네요 허허 현실의 벽 하하
혹시 강아지 키우셨을 때  산책 자주 하셨어요?,어우 저희는 산책 정말 많이 했어요/하루에 3번이나 정말 못해도 2번은 했어요
3번이면 일단 산책 시켜주시는 주인도 힘들지 않아요...?,산책을 안 좋아하는 강아지는 없다고 생각합니다!/사실 힘든데 그래서 아빠가 주로 하셨어요 ㅋㅋ/산책 엄청 짧게 했어서 가능했던거 같아요!
아아! 강아지 용품들중에 추천해주실 만한 용품이 있을까요?,음... 냄새 탈취스프레이...!?/배변 보고 나서 닦고 뿌리면 냄새 안나요!
강아지 키울 때 사료 하나하나도  되게 신경써야 한다는데 사료는 주로  뭐 먹었어요?,집에 좀 남는데 가져다 줄게요^^/한 강아지가 좀 비만이었어서 비만 전용 사료 맥였어요 ㅋㅋ
ㅋㅋ 제가 동물을 하나도 몰라서 그러는데 비만 전용 사료면 사람으로 따졌을 때 막 다이어트식품처럼 그런거예요?,음 뭐랄까/사료인데 좀 지방부분을 없애고 좀... 담백... 이니까/맛이 없어서 안 먹으려고 한거 보면 비슷한거 같아요
그것조차 신기했어요 혹시 커플티 해보셨나요?,ㅋㅋ 뭔지 알긴 아는데 도저히 그건 용기가 안나더라고요
혹시 이구아나 키워보실 생각 있으세요?,이구아나 좀 좋아하시나봐요 ㅋㅋ/아니요... 이구아나... 아니요...
고슴도치는 어떠세요?,고슴도치는 괜찮을 것 같아요!  하하
친구분들끼리 만나면 술게임 자주 하시나요?,ㅋㅋ 사실 제가 대학생활을 많이 안 해서 술게임 거의 안 해봤어요 ㅋㅋ/쌤은 뭔가 프로의 느낌인데요?
핸드폰게임은 자주하세요?,아 그르네요 ㅋㅋ/핸드폰 게임 옛날에 붕어빵 타이푼?/그런 거 이후로 애니팡... 말고는 해본적이 없네요 ㅋㅋ
예전에 쿠키런 모두의 마블 이런것도 안 해보셨어요?,아 모두의 마블은 한 번해봤다가 재미 없어서 안하고 쿠키런도.../진짜 잠깐하고 그냥 지웠어요 ㅋㅋ/게임을 오래 안 하는 스타일이어서
1위에서 떨어지면 또 하고 또 하고 ㅋㅋ,우와우 1위라니 한번도 가 보지 못한 곳 ㅋㅋ/그 곳에 언니가 있었군요/쿠키런에서 무슨 캐릭터 제일 좋아했어요?
쌤은 바람의나라 해보셨어요?,헐 아니요/근데 그거 노래 좋다고 유명했던거 같기도 하고...?
제일 유명한 롤은  해보셨나요?,아니요!/롤... 본 적도 없네요 ㅋㅋ
