req,res
너 공짜로 머리하는법 알아?,공짜로? 어떻게 하는데?
인터넷에 미용실 체험단 쳐봐,검색해보고 올게 잠시만
응 거기서 지역보고 신청해,나 방금 신청했어 고마워!
이렇게 하면 머리 공짜로 가능해,파마나 염색도 해줘?
응 시술 종류별로 다 있어,고마워 진짜 꿀팁이다
영화표 예매해야되는데 참,영화 보기로 했어?
어 남친이랑 오랜만에 영화보기로함,남친이 너보고 예매하래?
아니 내가 통신사 할인이 되거든,오 뭐 공짜로 끊을 수 있고 그래?
어 1인 무료에 1인은 반값,헐 혜택 완전 꿀인데
어플에서 해야되거든,그래도 그정도 할인이면 완전 이득이지
나 이제 슬슬 자기소개서 다시 써봐야할 것 같아,왜? 갑자기 이직 준비하게?
"응, 여기 회사 너무 힘들어서 준비 좀 해야겠어",그래 잘 생각했어./근데 자기소개서라니ㅠㅠ 생각만해도 너무 싫다
그치 나도 다시 시작하기 싫은데 이직은 욕심나고 ㅋㅋ,ㅠㅠ 이직하려면 어쩔 수 없지
응 진짜 예전에 뭐했는지 잘 기억도 안난다,예전에 썼던 것 좀 참고해서 봐봐
그래야 겠어ㅠㅠ 이 나이에 자기소개서라니,열심히 해봐야지! 파이팅
너 가족들한테 돈 잘써?,음 어떤 돈 말하는거야?
뭐 외식하면 외식비라던가~,아 외식비는 아빠가 결제해
그럼 용돈같은거 드려?,용돈은 주기적으로 드리고있어
와 너 참 어른스럽다,에이 나도 이제 돈 버니까 갚아야지
나 갑자기 불효녀 된 거 같아,아니야 다 사정이 다르니까!
너 소개팅 앱 해본적 있어?,아니 요즘 많이 하던데
너무 외로워 요새~,너도 어플 가입해보게?
응 무료라길래 한 번 해보게,후기 궁금하다 직접 만나?
대화 좀 하다가 실제로 만난대,그래도 세상이 흉흉하니까 조심해
안그래도 그 부분이 좀 걱정이야,안전한 낮에만 꼭 만나고!
앵무새 한번 키워 볼까?,앵무새가 진짜 똑똑하자나
맞아 말도 하고 사람이랑 싸우기도 하자나 ㅋㅋ,진짜 신기해 ㅋㅋ 나도 인사 가르치고 싶다
집에 올 때 마다 인사 해주면 진짜 좋겠다,응 ㅋㅋ 훈련 진짜 잘 시킬 자신 있는데
너도 머리채 잡히는거 아니야? ㅋㅋ,맞아 ㅋㅋ 그럴 수도 있어
근데 애교도 많아서 귀여울 것같아,그건 그래 하하 손에도 올라오고
나 쌍수했는데 망한 것 같아,왜? 자연스러워 보이던데?
한 쪽이 짝짝이 같아,별로 티 안나!
내 눈에만 보이는건가,응 남들은 별로 관심 없을거야
그래도 너무 속상해,그럼 재수술은 어때?
다시는 수술하고 싶지 않아,많이 아팠나보네 수술이
너 한국 감독 중에 누구 좋아해?,나는 박찬욱 감독이 좋더라 ㅋㅋ/아가씨 제일 좋아하는 작품이야
진짜? 나는 최동훈 감독 좋아하는데,그 도둑들이랑 암살 만든 감독?
응! 진짜 영화 너무 재밌게 잘 만들지 않아?,맞아 그 감독은 전부 흥행 했더라
타자도 그 감독 영화야!,와 진짜 다 흥행했네 대박이다 ㅋㅋ
그치 ㅋㅋ 곧 차기작 나온다는데 기대 중이야,그래? 같이 보러가자!
너네 회사 복지는 어때?,"복지는 뭐, 복지라고 자랑할만한게 없네"
그치? 우리 회사도 마찬가지야,"에휴 무슨 복지야,, 월급이나 올려줬으면 좋겠다."
"맞아, 근데 복지가 좋아져야 사람들이 오래 근무하지 않을까?","그렇지, 너네 회사는 노조 있어?"
응 있지. 분기별로 안건을 건의할 수 있어.,오 그러면 좋겠다~ 안건도 많이 올라오나?
생각지도 못한 아이디어들이 나와서 그래도 요즘 조금 좋아진 것 같아.,오 대박이네? 부럽다~
할머니 보고싶다 요즘,오 너 할머니랑 좀 친해?
응 어릴 때 할머니랑 거의 같이 살았어,아 진짜? 나는 할머니랑 전혀 안친한데
나 한 5살 때까지는 할머니랑 살았어,근데 어릴 때 그렇게 해도 나중에 안친하지 않나/부럽다 나는 외할머니 친할머니 둘 다 안친한데
나는 할머니랑 되게 가까이 살았어서,하긴 나는 멀어가지고 친해질 기회가 없었지
너 생각해둔 이상형 있나?,나 그냥 잘 맞는 사람 좋아해
뭐가 잘 맞아야 잘맞는거지?,성격 같은 부분이 맞는거?
어떤 성격 좋아하는데?,나는 자상한 사람이 좋아
츤데레는 어때 나쁜남자,어 그거 내가 제일 싫어하는거야
나쁜 남자는 스타일이 아니구나,난 착한 남자가 좋아
강아지 산책 갔다가 지금 집왔다,얼마나 산책해?
음 거의 1시간 정도 산책하는 편이야,너도 운동 되고 좋겠다
응 ㅋㅋ 강아지가 산책을 많이 하니까 분리 불안도 없어졌어!,진짜? 역시 강아지들은 산책이 답인가봐
응 진짜 매일 한시간씩은 나가줘야 해!,넌 진짜 성실한 견주다
아냐 이건 당연히 해야 하는거야 !,넌 강형욱 선생님한테 안 혼나겠다
피부 레이저 시술 받고싶다,레이저 시술 어떤거?
모공이랑 잡티 케어 하는거!,레이저 받아본 적 있어?
응 저번에 한번 해봤어,따갑거나 아프진 않았어?
되게 따끔하고 아프긴 해,난 겁이 많아서 그런거 못하겠다
잠깐만 참으면 괜찮아,한 번 용기내서 해볼까...
어벤져스에 자막 오류 많은거 알지?,응 ㅋㅋ 마지막에 닉 퓨리가 엄마 찾자나 ㅋㅋ
맞아 진짜 닉 퓨리 효자인줄 ㅋㅋ,ㅋㅋ 그거 말고도 너무 많자나
그니까 영화에서 번역가의 중요성을 새삼 느꼈다,진짜 중요하더라 영화 내용이 아예 바뀌니까
맞아 진짜 중요한 순간에 오역을 하면 큰일나지,어벤져스는 진짜 심했어
그 번역가가 한 영화는 보기 싫어졌자나,맞아. 나도 보기 싫어지더라
너네 회사는 요즘 회식 해?,아니 우리는 코로나 터지고 나서 회식 안해
맞아 우리 회사도 회식을 안해서 회식비를 점심값으로 써,ㅋㅋ 그럼 좋겠네 식비도 안들고
그치 근데 퇴근하고 저녁에 맛있는 음식 먹는게 더 좋은데ㅠㅠ,회식이 좋아? 대부분 회식 싫어하잖아
나는 그래도 회식할 때 재밌어서 좋은 것 같아.,너 정말 특이하다 ㅋㅋ
맞아 내 친구들도 다 그소리해,나는 회식 좋다고 하는 사람 처음 봤어
휴가 때 가족여행 계획 짜는 중~,헐~ 너 휴가 아직 남았어?
겨울에 온천갈려고 3일 남겨뒀지~,와 대박 너 철저하다
부모님 생신이라서 기념으로,너 효자다/진짜 신경 많이쓰네
이정도는 해드려야지 내가,대단하다/난 그냥 용돈드리는데
대신 용돈은 따로 안드려,가족여행이 돈 더 많이 들겠다
넌 이상형이 뭐야?,음 성격이나 코드 맞는 사람?
어떤게 잘 맞아야한다고 생각해?,여러가지가 잘 맞아야지
제일 중요한게 뭐야?,다정다감한 성격이 필수야
맞아 다정함이 최고라했어,다정하고 착한 사람 만나고싶다
그런 사람 어딨을까?,알면 내가 이러고 있겠니
너 성형중독 걸린 사람 봤어?,헐 내 옆자리에 딱 있어
강남미인상 실제로 있어?,응 너도 보면 알걸?
성형 중독이 그렇게 무섭다며,그건 마음의 병이래
부작용도 어마어마하던데,돈도 엄청 들거야
예쁜데 왜 더 고치는거지,그러게 인간의 욕심은 끝이없나봐
너 여신강림 웹툰 봐?,응! 너 서준이야? 수호야?
당연히 수호지ㅠㅠ,난 서준이야! 요즘 서준이 분량 너무 없어서 서운해ㅠㅠ
맞아 서준이 너무 안 나오더라 ㅋㅋ 서준이도 좋은데,주경이도 너무 예뻐
화장 기술 진짜 좋아 ㅋㅋ,그러니까 어떻게 그렇게 변하지?
완전 변신술이야 ㅋㅋ,그래도 예쁘잖아ㅠㅠ
내년엔 연봉이 얼마나 오를까,이제 2020년도 끝나가네
응 그래서 슬슬 걱정된다.,"연봉도 올려주는 한계가 있으니까,"
맞아ㅠㅠ 한번에 확 올려주면 좋은데,"그치, 근데 대부분 회사가 안그렇지"
맞아. 그런 회사 어디 없나?,있으면 나도 가고싶다.
ㅋㅋ 같이 가자 그런곳 있으면,좋지. 같이 일하면 재밌을거야
나랑 언니 닮았어?,응 ㅋㅋ 완전 쌍둥이인줄 알았어 ㅋㅋ
진짜? 난 모르겠는데 주변에서는 다 닮았다고 해,그럼 진짜 닮은거야 ㅋㅋ
그런가? ㅋㅋ 넌 오빠랑 닮았어?,아니 ㅋㅋ 우리는 전혀 안 닮았어
ㅋㅋ 성격도 완전 반대자나?,응 ㅋㅋ 오빠랑 진짜 안 맞아
그래도 오빠 있는 거 부러워,그럼 너네 언니랑 바꿀래? ㅋㅋ
너는 연애 오래하는 스타일이야?,나는 좀 금방금방 질려하는 스타일
질릴 때마다 헤어지는?,그런 것 같아 아무래도
하긴 마음이 식으면 헤어져야지,맞아 붙잡고 시간만 보낼 순 없잖아
상대방은 근데 황당할듯,인정 갑자기 헤어지자고해서 어이없을 듯
나는 이제 정착하고 결혼하고 싶다,안돼 연애 좀 더 해보고 가야지~
어제 네일아트 스티커 득템했어,네일아트 스티커는 뭐야?
젤네일처럼 보여지는 스티커야!,스티커?그럼 떨어지지 않아?
응 붙여서 잴램프로 굳혀!,와 신기하다 젤램프라니
요즘엔 셀프 네일 참 잘돼있어,그러네 네일샵 갈 필요 없겠다
나중에 우리집 오면 해줄게,응 손톱 발톱 다 부탁해
하울의 움직이는 성 ost 들어 봤어?,제목이 인생의 회전목마 인가?
맞아 노래 너무 좋지 않아?,맞아 ost좋지만 영화도 너무 좋아
응 나 그거 스무번은 넘게 봤어!,진짜 많이 봤다 ㅋㅋ 하울 너무 멋있어ㅠㅠ
ㅋㅋ 맞아 볼 때마다 감탄이지 ㅋㅋ,ㅋㅋ 색감도 너무 예쁘고 너무 좋아
지브리 스튜디오 영화는 색감이 다 너무 예뻐,그래서 매니아도 많은것 같아
나 이번에 맡은 프로젝트가 너무 커서 힘들다.,왜 어떤 프로젝트인데?
타 회사랑 협력하는 건이라서 하하 벌써 긴장되네,에이 아직 시작도 안했는데 겁부터 먹지마
그치? 나는 이렇게 큰 프로젝트 처음 해봐서 ㅠㅠ,잘 할 수 있을거야!/어차피 협력 건이면 다른 사람들도 많이 도와주겠지
"휴, 갑자기 걱정이 사라지는 것 같아 ㅋㅋ",그래 편하게 생각해!/그리고 성공하면 너 실적도 반영 되고 좋지
그것도 그렇지. 나도 최선을 다해야겠어.,그래 열심히 해봐
내일 할아버지 제사라서 집에 일찍 들어가야 해,우리 집은 제사 안 지내는데
진짜? 우리집은 1년에 열번 넘게 있어,완전 종갓집이네 ㅋㅋ
엄청 많지? ㅋㅋ,힘들지 않아?
나보다는 엄마가 고생이지ㅠㅠ,맞아 아버지는 많이 도와주셔?
다른 집안에 비하면 많이 돕는 편이야,우리 아빠도 직접 전 부치셔 ㅋㅋ
이번 연애도 오래하긴 글렀어,이번엔 그래도 100일 넘겼잖아?
꾸역꾸역 어떻게 넘긴 했어,너 혹시 금사빠야?
응 약간 금사빠인 것 같아,그게 문제라고 본다 나는
그래도 사랑하는 순간만큼은 진심이라구,그 진심을 오래 유지해야지
내 짝이 언젠가 나타나지 않을까?,그럼 뭐해 금방 또 시들해질거면서
너 한라산 등산 해봤어?,아니 한라산 우리나라에서 제일 높잖아!
응 그래서 도전해보고싶어,서른살 여자라면 한라산 정상 찍어봐야지
너도 김삼순 봤구나?,응 자전거 타고도 오른다던데?
정상은 아니고 다른 코스일거야,하긴 현무암 돌산이라 위험하겠다
겨울에 같이 등산 갈래?,좋아! 눈쌓이고 운치있겠다!
얼굴 좀 갈아 엎고 싶다,에이~ 그정도는 아니다
눈이랑 코랑 입꼬리랑 다 하고싶은데,정 하고싶으면 하나만 해
코를 고치는게 인상이 제일 변한대,맞아 코가 얼굴에서 제일 입체적이잖아
나 아는 언니도 필러 맞았던데,그 언니는 예뻐졌어?
완전 성공했어 티도 안나고,티 안나는게 제일 힘든데 잘됐네
너 영화 장고 봤어?,아니 그게 뭐야?
집에서 봤는데 진짜 너무 재밌었어 ㅠㅠ,불법 다운로드 한건 아니지?
당연히 돈 주고 본 거지!,맞아 불법 다운로드 하면 안돼
당연하지! 너도 장고 한번 봐봐! 추천이야!,응 ㅋㅋ 나도 오랜만에 영화 결제 해야지
너도 영화 추천해줘!,나는 킬링디어 추천할게!
우리 이번에 생일자 포상으로 복지 생겼다?,생일이면 돈주는거야?
돈은 아니고 백화점 상품권!,우와 대박! 진짜 좋네?
응 역시 노조가 생겨서 그런지 좋더라고,그러게~ 부럽다. 백화점 상품권이라니
맞아 돈으로 주면 좋을텐데 말이야,하긴 근데 돈으로 주는 곳은 없을 것 같아
ㅋㅋ 그것도 그렇지 아무튼 이거로 차곡 차곡 모아서 좋은거 사야겠다.,그래 차곡차곡 모아서 쇼핑하러 가야지
남자친구랑 싸웠어,왜? 무슨 일 있었어?
동창회에 남자도 있다고 못 가게 하는거야,그것 때문에 싸웠어?
응 친구들 오랜만에 보고 싶은데,네가 잘못했네 남자친구가 싫어 할만해
진짜? 너도 그렇게 생각해?,응! 나도 이성 간에 친구는 없다고 생각해
그렇구나ㅠㅠ 가지 말아야겠다,그래 얼른 화해해
축구 보는 거 좋아해?,그닥 좋아하지는 않는데 보러 간 적은 있어
오 어떤 경기 보러갔는데?,월드컵 예선 경기였었나?
어느 나라랑 한 건지 기억나?,어 그것까진... 그냥 오빠 따라 간 거라
그렇군 그래도 재밌었어?,응 생각보다 잘 보이고 응원도 재밌었던 듯
나랑도 나중에 경기 보러가,오케 재밌겠다/친구들 모아서 가자
헤어오일 하나 사야겠다,쓰던 거 거의 다 써가나보다
어 원래 싼거 원쁠원 썼었어,나도 맨날 세일하는 거만 사는데
근데 이번엔 좀 좋은거 사볼까 싶기도,좋은 건 진짜 가격 좀 쎄더라
그니까 엄청 천차만별이던데,티트리 오일 함유된게 좋대
맞아 그거 탈모방지 성분인 듯?,내가 써보고 효과 있나 말해드림
만화 중에 인사이드아웃 있잖아,응 그거 픽사에서 만든거자나
거기서 나온 오프닝 영상 봤어?,만두가족 이야기?
응 ㅋㅋ 너무 귀여워,맞아 이번에 소울에 나온 오프닝 영상도 대박이야
그것도 빨리 봐야겠다!,아직도 못 봤어? 빨리 봐!
웅 하하 오늘 당장 본다!,ㅋㅋ 진짜 귀엽고 영화도 재밌어
회사생활이 너무 힘들어서 매일 퇴사만 생각하는 것 같아,퇴사?ㅠㅠ 너 거기 오래다녀서 그런거 아냐?
그것도 그렇지 ㅋㅋ 지금이 딱 퇴사하기 좋은 시점 같지 않아?,원래 3년 5년 10년 이렇게 찾아온대잖아. 퇴사 하고 싶은 시점이
그래서 내가 요즘 이런가? 어떤 일도 안하고싶어져 ㅋㅋ,일하기 좋아하는 사람이 있을까?
"있을걸? 우리 팀장님은 그러신 것 같아, 항상 즐겁게 일하셔",그런 사람이 있어?
"응, 근데 나는 재미있을 때도 있긴 해서 마음이 오락가락해",그러면 일단 조금 더 다녀 보면서 생각해봐
주변에 군대 가는 사람 있어?,나는 다 제대 했지
그럼 주변에 군인 친구는 있어?,응 나 군인친구 있어 왜?
아니 오늘 군인 지나가는걸 봤는데 지쳐보여서 물어봤어,군대 훈련이 힘들었나?
그런가봐 내 친구들도 예전에 군대 가기 엄청 싫어했어ㅠ,싫어하는데는 이유가 다 있는거겠지?
그렇겠지 군대 이년 동안 훈련하느라 다들 고생이겠네,그렇지ㅠㅠ 근데 우리 나라가 의무라 어쩔수 없지ㅠㅠ
결혼 준비하는거 너무 힘들다,많이 준비했어?
예식장 예약하고 이제 드레스랑 메이크업 남았어,아직도 할 게 많네
응 청첩장도 만들어야 돼,준비하면서 남자친구랑 안 싸웠어?
엄청 싸우고 있어... 진짜 안맞는거 같아ㅠㅠ,ㅋㅋ 결혼 준비 할때는 다들 그런다고 하자나
그렇겠지? 우리만 그런거 아니겠지,그럼 그러다 파혼하는 경우도 있자나ㅠㅠ
스키 타는 계절이 돌아왔네,스키장 간 지 진짜 오래됐다
나는 작년에 갔었어,헐 나빼고! 누구랑 갔어
남자친구랑. 남친이 스키를 잘타거든,헐 좀 잘 사는 거 아님?
그런 건 아닌데 원래 어릴 때부터 탔나 봐,야 스키 완전 고급 스포츠라고
아니야 이번에는 스노우보드 배울거래,스노우보드는 스키보다도 어렵다던데
너 앞머리 모류 교정 알아?,헐 나 그거 완전 받고싶어
나도 곱슬이라 맨날 앞머리 휘어,근데 그거 비싼것 같더라
진짜?셀프로도 할 수 있던데,돈도 아까운데 한번 집에서 해볼까
유튜브 보고 따라하면 될 듯?,오 너도 할거면 우리 같이해볼래
응 좋아! 나도 해보고싶어,그래 그럼 내가 너 머리 먼저 교정해줄게
너는 영화 어떤 장르 좋아해?,음... 나는 장르는 딱히 안 가려
싫어하는 장르는 없어?,너무 잔인한 영화는 못 보는 편이야
나도 잔인한 영화 싫어해 ㅠㅠ,너는 좋아하는 장르 있어?
나는 요즘 멜로가 좋더라 하하,요즘 같은 날씨에 멜로 영화 딱이지
멜로 영화 추천해줘!,겨울에는 러브레터지 하하 !
주변에 결혼생활하는 거 보면 진짜 나는 비혼으로 살아야 하나봐,왜? 어떤데?
"시부모님 챙겨야 되고, 시누이 시동생까지...",맞아 그리고 애기 낳고 직장은 어떻게 다녀 ㅠㅠ
맞아 난 절대 두개 다 못해ㅠㅠ,다들 결혼은 최대한 늦게 하라고 하자나
"진짜 해도 걱정, 안 해도 걱정이다",ㅋㅋ 맞아 그냥 혼자 살아야 하나봐
그러자 ㅋㅋ 비혼식이라도 올려야지,그래 ㅋㅋ 축의금 보내줄게 ㅋㅋ
나 수영 배워보고 싶어,수영은 갑자기 왜?
내가 수영 아예 할 줄 몰라서,생존 수영이라도 꼭 배워둬
내말이 그말이야 그래서 배워야해,근데 요즘 시국때문에 힘들텐데
맞아 문 연 수영장이 없더라,마스크 끼고 수영은 좀...
조만간 수영 배워야겠다,욕조에서 잠수라도 먼저 연습해보는 건 어때?
나 퍼스널 컬러 받고 왔다 ㅋㅋ,와 ㅋㅋ 너 퍼스널 컬러 뭐래?
나 겨울 쿨톤이래 ㅋㅋ,의외다 ㅋㅋ 나도 궁금하다
너도 한번 해봐 ! 진짜 재밌어 ㅋㅋ,나는 뭐 같아?
음... 너는 봄웜?,봄웜? 그런가? ㅋㅋ 나도 예약해야겠다
받아 보고 후기 알려줘!,응응 받아 보고 알려줄게
너 스케이트 잘타?,뭐 얼음 위에서 타는 거?
어 아이스링크장 가봤어?,나 어릴 때 엄마 따라 많이 가봤는데
엄마 따라? 엄마가 스케이트 타셨어?,그 때 아마 한창 배운다고 다녔을 걸?
우와 너도 그럼 같이 배운거야?,나는 전문적으로 배우진 않았고
다음에 잠실에 타러 갈래?,롯데월드? 그래 재밌겠다
오늘 턱 끝에 필러 맞았다 ㅋㅋ,어때? 아프진 않아?
별로 아프진 않았어 ㅋㅋ,효과는 어때?
턱 끝이 쫌 뾰족해진 느낌이야 ㅋㅋ,나는 눈 밑에 맞고 싶다
나도 ㅋㅋ 눈 밑 꺼짐 진짜 심해ㅠㅠ,나는 다크써클도 심해서 더 문제야
나는 팔자 주름 걱정 ㅠㅠ,상담 한번 받으러 가자 ㅋㅋ
요새 스크린골프 엄청 치더라,내 주위에도 많이 치더라구
필드에 나가서 치는 건 비싸겠지?,한 번 가면 인당 30은 들 걸?
와 진짜 비싸다,그래도 매일 하는 경기는 아니니까
매일 하는 사람도 있겠지?,시간 많고 돈 많으면 매일 치겠지
부럽다 나도 골프나 배워볼까,요즘 강습 저렴한 곳 많대!
나 어깨가 너무 굽었어 ㅠㅠ,진짜 일자 어깨 너무 부러워
그러니까 난 축 쳐지고 굽었어,운동 많아 하면 펴지지 않을까?
그렇겠지? 골반 교정도 해야 되는데,맞아 나도 골반 틀어짐 진짜 심하데
골반이 틀어지면 온 몸이 틀어진데,진짜? 어쩐지 내 몸이 다 틀어진 것 같더라
스트레칭 많이 하면 좋아 지려나?,근데 근력도 엄청 중요한것 같아
너 골프 좋아해?,골프? 칠 줄도 몰라 ㅋㅋ
요즘 젊은 사람들도 골프 많이 즐기더라,아 그래? ㅋㅋ 나도 골프나 배워볼까
같이 배울래?,그럴까? 스크린 골프장 가서 게임도 하고
그러자 재밌을 것 같아!,부자들만 하는 건 줄 알았는데 ㅋㅋ
요즘은 많이 대중화 됐어,그런 것 같다 ㅋㅋ 한번 배워보자!
이번에 필러 맞아볼까?,어디 맞게?
코에 맞아보고 싶어,아프지 않을까?
주사니까 당연히 아프겠지?,응 내 친구 중에 맞은 사람 있는데 엄청 아팠다던데?
ㅠㅠ역시 예뻐지는건 아픔을 참아야 하나봐,그렇지. 병원 잘 알아보고 다녀와
응 검색해보고 다녀오려고,하하 다녀와서 후기 알려줘
이번 주말에 캠핑 갈래?,캠핑? 너 캠핑 장비 다 있어?
"응 나 다있어, 같이 가자",ㅋㅋ 캠핑가면 사서 고생이라던데 아니야?
사실 텐트치는게 정말 힘들긴한데 다 끝나면 보람있어,날이 추워서 가도 괜찮을지 모르겠다
괜찮아 전기장판도 내가 챙겨갈게,ㅋㅋ 너 진짜 없는 게 없구나?
그럼~ 당연하지. 나는 프로 캠핑러야,ㅋㅋ 그래 그럼 우리 같이 가보자
요즘 주름이 자꾸 생기는 것 같아서 고민이야,주름? 너 주름 없는 것 같던데
아냐ㅠㅠ 하나 둘 눈에 띄는 것 같아,에이 초기엔 화장품만 잘 발라줘도 괜찮지 않을까?
그런가? 나는 주름 개선 화장품 한번도 안 써봤는데,이번에 한번 써봐! 요즘 좋은 것 많이 나오더라
좋은건 비싸더라ㅠㅠ,역시 가격이 비싼 이유가 있는거겠지 한번써봐!
하하 알았어 내가 써보고 좋으면 너한테 추천해줄게,나도 요즘 주름 신경쓰였는데 고마워!
너 골프 쳐봤어?,골프? 스크린 골프만 쳐봤지
아 진짜? 어때 재밌어?,아직 몇번 안 가봐서 잘은 모르겠어
"나도 한번 시작해볼까 싶어서, ㅋㅋ 근데 하나도 몰라","일단 주위에 잘치는 사람한테 배워봐,/아니면 레슨이라도 받아보던지"
그치 처음에는 아무것도 모르니까 일단 배워야겠다.,응 나도 초보라 가르쳐줄 실력이 아니야ㅠㅠ
웅 그래도 큰 도움줘서 고마워,에이 뭘~ 나중에 같이 골프나 치러 가자
파이어 족이라고 알아?,나 그거 정확히 모르는데 아마 노후자금 마련하고 일 일찍 그만두는거 아니야?
맞아 그거야 ㅋㅋ 잘아네,나는 파이어족이 될수 있을까?
도전하면 아마 다 될걸?,언니는 몇살까지 일할거야?
그건 아직 모르겠어ㅠㅠ,나 얼마전에 기사 봤는데 43에 일 그만두고 제주도 가서 산대
우와ㅠㅠ 부럽다 어떻게 성공했대,투자에 성공한거지!
나 요즘 머리가 너무 많이 빠지는 것 같아ㅠㅠ,너 머리숱 많지 않았어?
나 어렸을 땐 진짜 숱 부자였는데,근데 너 지금도 머리숱 많아보여
아냐ㅠㅠ 머리카락이 길어서 그런지 빠지는게 눈에 잘보여,원래 머리카락은 빠지고 나고 싸이클이 있잖아
그래? 그럼 탈모는 아닌가?ㅠㅠ 괜히 걱정되길래,탈모가 초기 치료가 중요하긴 한데 너는 아직 그정도는 아닌것 같아
그럼 다행이다ㅠㅠ 그래 초기 관리가 중요하니까 샴푸라도 바꿔봐야겠어,맞아 요즘 탈모 샴푸 종류도 많고 잘 나온다더라구
머릿결이 푸석푸석해지는 것 같아.,이번에 파마해서 그런거 아니야?
그렇겠지?ㅠㅠ 나는 머리카락이 너무 얇아서 쉽게 상하는 것 같아,맞아 머리카락도 선천적일텐데ㅠㅠ
아냐 선천적이긴 하지만 2번정도 바뀐대,아 그래? 신기하네
응 나 어렸을때 지금보다 훨씬 심한 곱슬이었는데 지금은 그렇게 안심해,ㅋㅋ 생머리로 바뀌진 않고 덜 심해졌네?
응 그래도 이게 어디야 어렸을 땐 정말 스트레스였어,지금은 반곱슬이라 더 예쁜 것 같아. 나는 부러워~
요즘 체형 교정하는 곳이 많이 생겨나는 것 같아,그래? 나도 요즘 체형 교정 관심있는데
가면 뭐 해주려나?,일단 현재 상태에 대해서 진단해주지 않을까?
그렇겠지? 근데 체형교정은 단기간에 하기엔 어렵지 않나,꾸준히 다녀야할걸?
어휴 그러면 또 돈많이 들겠네,그렇지. 그리고 좀 아플 것 같아
맞아 경락도 진짜 아프잖아,예뻐지는데엔 아픔이 따르는 것 같아ㅠㅠ
너 지난번에 퍼스널컬러 받아 보고 왔다고 햇나?,응응 받아 보고 왔지
어땠어? 나도 한번 받아 보고 싶다.,나는 정말 좋았어
어떤 점이 좋았어?,나한테 어울리는 색을 알 수 있더라고
색을 아는게 중요한가?,"그렇지, 나와 가장 밀접한 관계에 있잖아"
하긴 화장도 그렇고 옷도 그렇고 색 선택이 중요하긴 하네,응 나는 진짜 돈이 아깝지 않았어. 너도 받아봐
보톡스 맞아본 적 있어?,보톡스? 아니 ? 너 맞으러 가려고?
관심은 있는데 아무래도 겁이 많아서 ㅋㅋ,맞아 너 주사 무서워하잖아
응 ㅠㅠ 주사는 무섭고 예뻐지고는 싶어 ㅋㅋ,모든 여자들이 다 그렇지 않을까?
그것도 그래 ㅋㅋ 주위에 맞았다는 후기 들어본 적 있어?,주위에는 없고 그냥 인터넷에서 후기만 봤던 것 같아.
어떻대? 만족스럽대?,사람마다 다 다른것 같아./근데 나는 안하는게 좋을 것 같아
낮은 나름 덥고 밤에는 엄청 추워ㅠㅠ,맞아 그래서 감기 걸리기 딱 좋은 날씨야
근데 마스크 쓰고 다녀서 감기 적게 걸린대,그렇긴 한데 날씨가 변덕이라서 걸릴 확률이 높은 거 같아
그럴수도 있지 그럴때일수록 옷을 따뜻하게 입어야돼,맞아 그래서 나 오늘 패딩입었어
패징을 입었어? 벌써? ㅋㅋ,응 따뜻하게 입으라매 ㅋㅋ
그래도 패딩은 너무 일러 ㅋㅋ,아니야 롱패딩 보단 나아 ㅋㅋ
이번에 007 영화 나왔대,나 보고 싶었는데 아직 못봤어ㅠ
아 그래? 왜 못봤어?,영화관에서 나왔는데 코로나 때문에 영화관을 못갔어ㅠ
나는 그래서 007 내일 가서 볼려고!,너는 영화 예매했어?
아직 안했는데 요즘은 자리 많아서 보기 전에 해도 돼,그래? 그래서 낼 몇시꺼 보게?
아마 3시꺼 볼려고 왜?,아니 그냥 ㅋㅋ 보고서 후기 알려줘
요즘 전세가 있긴해?,가끔 드물게 있대 왜?
나 이번에 곧 이사잖아...,그래서 전세로 갈려고?
응 이번 집에서 전세가 올려달래서 옮길려고,아 정말? 어디로 가게?
아직 안정했는데 지금 가격선으로 알아봐야지,근데 전세 지금 잘 안나와서 걱정이겠다
맞아 그래서 아직 이사 기간 남았는데 알아보고 있어ㅠ,곧 좋은 전세 나올거야 걱정마!
오늘은 팩하고 자야겠다,일일 일팩 하는거야?
아니 그거는 도전했는데 실패했어ㅠㅠ,해봤는데실패했어? 왜?ㅠㅠ
그거 은근히 하기 어려워ㅠㅠ,맞아 나도 팩 해야지 생각하고 맨날 미루게 되더라
오늘은 그럼 같이 팩 붙히고 자자,좋은 생각이야 그럼 나도 이따 세수하고 팩 할게
응 그럼 하고서 인증사진 보내줘,응 알겠어 이따가 보내줄게!
아르바이트 면접 언제야?,내일 아르바이트 면접이야!
무슨 아르바이트 지원했어?,나 카페 아르바이트 지원했어
카페는 경력자 원하지 않아?,맞아 나 전에 카페 경력 일년 정도 있어서 괜찮을걸?
아 맞네 ㅋㅋ 너 카페 일했었네,응 근데 까먹었긴 한데 일 배우면 또 다해
맞아 그렇긴하지 내일 면접 잘 보고와,응 붙으면 말해줄게!
